,rich_media,30c,dglucose,ros,osmolytes,shuffled
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.010370520390095483,0.026886523758440566,0.024658054067607075,0.02341177147599514,0.01946217958061068,0.001575440181160413
2,0.013379594108490857,0.024762820346089804,0.027755849247078773,0.024604982601913017,0.020047555062810495,0.0020155326277847864
3,0.030413047689186675,0.025164435838253608,0.03124069128796182,0.019503937544851326,0.02836335275569293,0.001483720124606227
4,0.026363482870463528,0.024067281843958777,0.03089900034609774,0.02039534858463597,0.037570702128822596,0.0012188620123144164
5,0.026469764174554447,0.022708631587025224,0.00846371783499785,0.019064643267936155,0.04004631405043873,0.0012672280523850392
6,0.003791123855441069,0.022515586930274712,0.006604834485487523,0.017950109985193776,0.007611218226804765,0.0020516930942917288
7,0.0038313182238538467,0.018026890102719684,0.002854037608696926,0.01747132369233657,0.004575542917147276,0.0019337512790689364
8,0.0012583742757566515,0.007990859275611736,0.002272563722482643,0.016866700585356276,0.0031645286992379256,0.0013061346075174266
9,0.0009703233764620027,0.006806153651938929,0.0009269525774683521,0.016757598130609407,0.0027623382417542,0.0012979092243097141
10,0.0008381737484494119,0.006434104448336533,0.0007189298567565226,0.016688255969195428,0.002578944648653932,0.0011668891626452967
11,0.0007112609748816333,0.006513283697258021,0.0005897648035084472,0.016360733790238953,0.0024858595844902353,0.0016815273413164045
12,0.000695626654876978,0.006438739843275071,0.0005660528591321924,0.015556374643257561,0.0014938197019507412,0.001461451505650398
13,0.0006218496176231986,0.006239290677539408,0.0005065479410325247,0.016369177523946826,0.0007644422439482246,0.0014757078201245765
14,0.00062183576875062,0.005698214292668123,0.0004369775414056898,0.015650059283615736,0.0003481047737552068,0.0021069203711977943
15,0.0003136033743925684,0.004039486966968164,0.00042322989644829776,0.014792875486773778,0.0002868814003413796,0.002410969082643082
16,0.0002572004365297,0.002076750749207577,0.0004018302892568306,0.014503441513292992,0.00028818261006495916,0.0026386126782756932
17,0.00019040030191417657,0.0007085850426948324,0.00039750705468371357,0.014309946407829807,0.0003764652960591796,0.0023015239587821355
18,0.00017504247306166673,0.0006317312723202036,0.00039513449287054673,0.013191022252748893,0.00035282483916073445,0.0020915981092635783
19,0.00015561122274958988,0.0006522229538352993,0.0003679383174453994,0.011481462369045127,0.0003118841463928261,0.0024761467672680328
20,0.00014294231071246925,0.0006823864749591564,0.00037325526751831204,0.011106056169517266,0.00026002988584813936,0.00209064062793601
21,0.00014586621605847163,0.0006633552139110567,0.00015171559865481555,0.005689947869754135,0.00010475335224141489,0.0014318078934294964
22,0.00014645018107918882,0.00033465389126583644,0.0001432182594250291,0.002765923618012029,9.13861777332604e-05,0.0015037932907943008
23,0.00012502424690435859,0.00010547029457386539,0.00012151271502071696,0.0014484864602265525,6.710712838819537e-05,0.0014976098372682146
24,7.39992069771112e-05,0.00011535667224903638,6.261434708390244e-05,0.00140676565751554,4.01102891219462e-05,0.002070649688472965
25,4.063552863463337e-05,0.00011379881023459698,5.7144105147919194e-05,0.0013987386708372007,4.673357353276164e-05,0.0020164280046468586
26,3.281867956640614e-05,0.00011135697357707402,5.325128026860521e-05,0.001396930066583549,3.662029641369245e-05,0.0018769812766123483
27,3.161725980825248e-05,0.00010844069372268924,4.760220573751039e-05,0.0014293635957553766,3.542312389139234e-05,0.0020335310531352725
28,3.06217563730649e-05,0.00010395889421725409,4.6341340558577773e-05,0.0014761449043762655,3.348477114953532e-05,0.0016951227244545407
29,2.2598454189578484e-05,7.290393137793883e-05,4.266812369081796e-05,0.001436608030651731,3.2615491439204617e-05,0.002388650554529832
30,2.0064918644389175e-05,4.35142689104923e-05,4.127747560531125e-05,0.0008068803894276769,3.255684286537677e-05,0.0017518566098413955
31,1.730664147999814e-05,3.265112230284896e-05,3.7795564028954286e-05,0.0005670040025477356,3.207281855073862e-05,0.0017663047498463092
32,1.501617831517421e-05,2.18076523562282e-05,2.1684509776723473e-05,0.0004547015330872415,3.0725051501733225e-05,0.0018460758702234037
33,1.3820570025830518e-05,1.8632234640885915e-05,1.8509178541288604e-05,0.0002820078901980521,2.7945183990500543e-05,0.0012247961833806434
34,1.181250678361245e-05,1.545816906182438e-05,1.585354477501361e-05,0.00015444134555399577,2.664705383457648e-05,0.0010352963774988724
35,7.5267243081917885e-06,1.3524984759862308e-05,1.3051875722253227e-05,0.00015783354768568518,2.2542090512109853e-05,0.0010546155508777608
36,5.9084087455830635e-06,9.787833024212774e-06,1.0630234628676105e-05,0.0001255666350287684,2.0402720597761483e-05,0.001610086335226602
37,4.640692419428995e-06,6.87893354813422e-06,8.714777794453831e-06,7.680201157443008e-05,1.831250769393408e-05,0.0015504398156155489
38,3.137333833348244e-06,4.901217942003294e-06,6.859844118246886e-06,4.8996733597562874e-05,1.3416998433624318e-05,0.0013891149988341026
39,2.114981609851947e-06,1.954393897508557e-06,4.75672028052725e-06,1.6046775811594527e-05,4.468136538229896e-06,0.0011857711440512765
40,0.0,0.0,0.0,0.0,0.0,0.0
