PC,variance_ratio,cumulative_ratio
1,0.04780997942695899,0.04780997942695899
2,0.029222185318929467,0.07703216474588846
3,0.01515585775639143,0.09218802250227989
4,0.014882119892928185,0.10707014239520808
5,0.011236002027410374,0.11830614442261846
6,0.009435279824317123,0.12774142424693558
7,0.008099532995271096,0.13584095724220668
8,0.007028581446296609,0.1428695386885033
9,0.006683541420947389,0.14955308010945068
10,0.0060903226018801946,0.15564340271133087
11,0.005044255339493518,0.16068765805082438
12,0.004843600204347555,0.16553125825517193
13,0.004698445022746973,0.1702297032779189
14,0.004201276915063593,0.17443098019298248
15,0.00405153886842603,0.1784825190614085
16,0.003936126307182645,0.18241864536859115
17,0.003465681269732302,0.18588432663832344
18,0.003425539266132148,0.1893098659044556
19,0.003268834237855465,0.19257870014231104
20,0.0031760571196415874,0.19575475726195263
21,0.0029362737396768607,0.1986910310016295
22,0.0027984453283751145,0.2014894763300046
23,0.002765011377400944,0.20425448770740556
24,0.0026202623640291167,0.2068747500714347
25,0.0024058779809820814,0.20928062805241676
26,0.0023038225405630007,0.21158445059297976
27,0.0022741852256112248,0.213858635818591
28,0.002215724733263522,0.21607436055185453
29,0.002182697929319034,0.21825705848117355
30,0.0020804557675884994,0.22033751424876205
31,0.002022032858825608,0.22235954710758765
32,0.0019805304145298222,0.2243400775221175
33,0.0019546457900375355,0.22629472331215503
34,0.0018880928475578124,0.22818281615971284
35,0.0018559348307036227,0.23003875099041646
36,0.001837661054289665,0.23187641204470613
37,0.001785757856769017,0.23366216990147515
38,0.0017443882738510203,0.23540655817532616
39,0.0017398811007696003,0.23714643927609577
40,0.0017285293772590995,0.23887496865335486
41,0.0017103004506371945,0.24058526910399206
42,0.0016916898993175353,0.2422769590033096
43,0.001664115903998119,0.2439410749073077
44,0.0016442358653752538,0.24558531077268297
45,0.0016430566702442468,0.24722836744292723
46,0.0016361363760330763,0.2488645038189603
47,0.0016216427243538013,0.2504861465433141
48,0.0016112229523352146,0.2520973694956493
49,0.0016073754389649788,0.2537047449346143
50,0.0015997062716578535,0.25530445120627215
